sequence,cushion,cycle,label,label_origin
38,6.584,30.258,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
39,8.0917,30.803,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
40,6.7967,30.179,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
41,8.2688,30.846,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
42,8.9955,31.298,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
43,7.348,28.893,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
44,7.8373,30.203,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
45,8.7757,27.526,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
46,8.6966,30.058,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
47,6.5388,28.497,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
48,8.8856,29.693,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
49,8.2767,28.936,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
50,9.1629,30.535,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
51,7.6821,30.857,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
52,8.2224,29.247,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
53,8.7812,30.297,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
54,9.0762,29.236,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
55,9.1874,30.439,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
56,9.3031,28.996,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
57,7.2336,31.001,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
58,7.848,27.968,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
59,7.4809,30.541,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
60,8.3217,31.199,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
61,7.0733,28.518,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
62,7.8143,29.089,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
63,7.7373,30.007,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
64,9.8462,28.138,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
65,8.4602,29.009,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
66,7.8552,30.053,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
67,7.7689,30.294,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
68,8.8608,29.582,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
69,7.2178,28.906,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
70,10.1928,30.177,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
71,8.4314,29.882,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
72,8.0583,31.763,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
73,8.5585,30.345,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
74,8.5568,30.558,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
75,8.1824,30.908,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
76,9.2706,30.03,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
77,8.6416,31.625,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
78,6.8497,27.96,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
79,7.6652,29.045,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
80,7.4346,30.923,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
81,8.8186,29.164,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
82,7.4674,30.039,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
83,7.5499,29.915,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
84,6.4073,29.735,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
85,8.9147,29.645,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
86,7.5052,30.912,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
87,7.505,30.614,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
88,8.1672,31.124,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
89,8.6467,29.22,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
90,7.2462,27.719,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
91,7.9565,29.575,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
92,7.9704,30.519,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
93,8.0623,30.355,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
94,8.2488,30.51,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
95,8.7305,30.676,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
96,6.9746,29.696,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
97,7.8797,30.077,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
98,7.3345,29.758,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
99,7.4675,29.55,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
100,6.8118,29.711,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
101,7.9899,30.261,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
102,8.6031,29.387,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
103,8.2086,30.107,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
104,8.0754,29.635,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
105,7.4372,30.305,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
106,8.5094,30.122,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
107,7.0891,31.756,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
108,8.8631,29.982,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
109,7.8245,30.823,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
110,8.3039,29.895,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
111,7.4623,29.66,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
112,7.4496,29.252,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
113,8.8617,28.332,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
114,8.2222,32.261,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
115,8.1213,31.658,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
116,9.7852,28.976,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
117,8.9996,30.382,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
118,7.5578,29.526,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
119,8.9987,31.27,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
120,7.2507,31.25,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
121,8.7481,29.429,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
122,8.1191,31.622,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
123,6.7269,29.244,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
124,8.1819,30.372,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
125,8.7121,30.192,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
126,7.8134,29.761,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
127,8.0091,28.945,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
128,8.895,30.696,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
129,8.8886,29.221,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
130,9.1803,30.898,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
131,6.9834,29.926,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
132,7.9601,29.275,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
133,7.7086,31.207,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
134,6.405,29.774,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
135,8.0644,30.57,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
136,8.6737,29.821,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
137,7.1799,29.055,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
138,6.5339,29.689,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
139,7.7808,29.892,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
140,7.9375,30.436,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
141,8.6035,30.249,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
142,9.8082,30.063,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
143,9.0722,29.641,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
144,7.1259,29.807,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
145,8.2952,29.508,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
146,8.876,29.709,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
147,8.4655,29.93,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
148,7.885,29.036,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
149,8.1799,28.718,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
150,7.8673,31.46,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
151,7.1959,29.408,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
152,7.6937,30.712,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
153,7.255,28.573,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
154,7.4722,30.035,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
155,8.9176,31.251,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
156,8.6248,28.241,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
157,8.2164,29.11,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
158,7.8825,30.916,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
159,7.2872,31.745,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
160,6.8294,30.956,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
161,7.415,29.567,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
162,8.6349,29.81,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
163,7.7317,31.764,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
164,7.0013,28.625,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
165,8.5004,29.24,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
166,7.0354,29.782,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
167,7.8669,29.793,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
168,7.2011,27.64,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
169,8.686,31.635,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
170,8.5127,27.539,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
171,7.951,30.635,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
172,7.5568,29.014,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
173,8.4642,32.139,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
174,6.8441,30.82,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
175,8.0881,29.973,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
176,8.5828,29.229,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
177,8.8223,30.177,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
178,7.6078,28.422,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
179,6.8603,27.087,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
180,6.7885,30.04,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
181,7.8381,29.405,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
182,9.1255,30.557,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
183,9.0981,30.366,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
184,8.3664,29.589,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
185,9.3927,29.22,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
186,8.0082,30.267,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
187,9.3517,29.817,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
188,7.6999,29.549,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
189,10.0991,30.134,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
190,7.2237,27.47,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
191,6.7115,29.636,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
192,8.6473,31.462,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
193,8.8671,30.236,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
194,6.9824,28.997,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
195,7.8179,30.017,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
196,8.2062,28.942,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
197,8.5869,31.055,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
198,9.2382,30.252,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
199,7.3731,29.659,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
200,7.6187,30.167,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
201,8.1877,29.011,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
202,8.0625,31.268,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
203,6.6491,29.543,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
204,7.8505,30.427,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
205,7.835,29.695,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
206,9.4132,30.552,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
207,7.5727,29.529,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
208,8.1428,30.797,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
209,7.637,28.387,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
210,7.7308,31.257,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
211,8.0341,30.114,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
212,7.8249,30.143,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
213,7.8393,27.554,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
214,8.6998,31.739,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
215,7.9808,30.584,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
216,8.1439,29.358,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
217,7.0211,32.567,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
218,7.6238,29.707,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
219,7.7688,31.205,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
220,8.0971,30.891,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
221,9.2202,29.294,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
222,7.0437,29.845,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
223,7.4902,27.795,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
224,8.7162,30.826,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
225,8.8633,31.661,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
226,7.714,29.733,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
227,7.832,29.765,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
228,7.0602,29.911,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
229,6.7387,29.033,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
230,8.7549,29.258,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
231,7.193,31.089,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
232,7.658,31.593,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
233,8.7051,31.456,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
234,7.344,29.931,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
235,7.0797,29.561,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
236,7.0047,30.762,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
237,7.8349,30.21,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
238,8.0104,31.847,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
239,8.6508,28.952,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
240,7.3593,29.177,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
241,8.1409,29.953,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
242,7.9682,29.983,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
243,8.4377,28.948,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
244,7.7457,31.982,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
245,7.7082,30.783,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
246,6.5947,30.561,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
247,8.5432,29.355,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
248,8.6652,30.042,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
249,8.4351,30.342,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
250,8.0965,30.029,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
251,8.2048,30.403,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
252,8.0741,29.326,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
253,7.3451,30.629,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
254,8.5255,29.149,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
255,8.1585,30.661,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
256,8.2343,31.13,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
257,7.1711,29.484,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
258,8.0052,31.484,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
259,6.415,29.655,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
260,7.2603,29.443,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
261,8.196,31.229,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
262,8.7681,32.644,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
263,7.3588,29.63,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
264,9.3053,30.098,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
265,7.9097,30.202,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
266,7.9615,29.747,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
267,7.8549,28.445,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
268,8.0476,30.061,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
269,8.227,28.864,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
270,8.8891,29.17,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
271,6.4816,30.207,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
272,7.6392,28.855,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
273,8.7632,30.46,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
274,8.2383,30.113,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
275,6.4753,29.664,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
276,7.8564,30.966,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
277,8.3324,30.668,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
278,8.0789,29.105,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
279,8.5424,30.089,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
280,7.9574,30.069,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
281,7.4221,29.942,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
282,7.8748,31.661,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
283,8.9301,28.056,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
284,8.0146,30.481,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
285,9.6087,32.377,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
286,8.3103,30.719,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
287,8.2948,30.346,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
288,9.0986,28.843,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
289,8.3828,29.035,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
290,8.5888,30.256,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
291,8.5727,30.509,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
292,8.114,29.264,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
293,6.6197,32.239,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
294,8.2149,30.946,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
295,7.4564,27.826,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
296,6.6442,29.401,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
297,9.6389,31.005,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
298,7.7171,29.459,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
299,7.47,30.368,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
300,8.1655,31.586,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
301,9.4147,29.81,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
302,8.5666,29.451,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
303,8.5485,30.552,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
304,6.8164,29.442,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
305,8.6296,29.676,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
306,5.9652,29.199,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
307,7.8647,29.961,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
308,8.8781,29.404,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
309,8.9061,30.459,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
310,7.3764,29.742,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
311,7.7549,29.096,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
312,7.758,30.565,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
313,7.1534,29.337,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
314,8.2418,31.479,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
315,7.8674,30.444,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
316,7.7267,29.164,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
317,6.9312,28.582,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
318,8.6126,30.918,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
319,9.5941,29.098,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
320,7.7466,32.422,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
321,7.6285,30.793,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
322,6.4332,29.819,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
323,8.3132,28.107,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
324,7.4163,30.869,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
325,8.2734,28.189,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
326,7.263,29.67,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
327,7.1303,30.282,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
328,8.0672,29.149,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
329,7.5913,30.946,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
330,6.4365,30.092,1,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
331,7.414,29.102,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
332,7.7361,30.493,0,교육용 합성 규칙 라벨. 실물 불량 라벨 아님
