parent,child
Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant.Parameter_Set,Injection_Molding_Machine.Component.Clamping_Unit.Component.Coolant.Parameter_Set.Coolant_Temp_Set
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Cavity_Number
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Fluidity
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Fluidity,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Fluidity.Shear_Rate
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Fluidity,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Fluidity.Shear_Stress
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Fluidity,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Fluidity.Viscocity
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure.Integral_Mold_Pressure
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure.Max_Mold_Pressure
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure.Mold_Pressure_Real_Time
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure.Start_Mold_Pressure
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Pressure.VP_Mold_Pressure
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature.Integral_Mold_Temp
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature.Max_Mold_Temp
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature.Mold_Pressure_Real_Time
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature.Start_Mold_Temp
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Cavity_n.Temperature.VP_Mold_Temp
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close.Mold_Close_Time
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close.Mold_Open_Time
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close.Mold_Status
Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close,Injection_Molding_Machine.Component.Clamping_Unit.Component.Mold.Operational_Data.Mold_Open_Close.Mold_Time
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Identification
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Identification,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Identification.Position
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Speed
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Start_Status
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Torque
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy.Actual_Power
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy.Actual_Specific_Energy
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy.Power_Consumption
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Energy.The ratio of working power
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Torque,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Torque.Average_Torque
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Torque,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Torque.Max_Torque
Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Torque,Injection_Molding_Machine.Component.Clamping_Unit.Component.Motor_Drive_n.Operational_Data.Torque.Min_Torque
Injection_Molding_Machine.Component.Injection_Unit,Injection_Molding_Machine.Component.Injection_Unit.Component
Injection_Molding_Machine.Component.Injection_Unit.Component,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater
Injection_Molding_Machine.Component.Injection_Unit.Component,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel
Injection_Molding_Machine.Component.Injection_Unit.Component,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder
Injection_Molding_Machine.Component.Injection_Unit.Component,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper
Injection_Molding_Machine.Component.Injection_Unit.Component,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle
Injection_Molding_Machine.Component.Injection_Unit.Component,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Parameter_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n.Band_Heater_Remaining_Life
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n.Band_Heater_Temp
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n.Band_Heater_Time
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Operational_Data.Band_Heater_n.Band_Heater_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Parameter_Set.Band_Heater_n
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Parameter_Set.Band_Heater_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Parameter_Set.Band_Heater_n.Band_Heater_Temp_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Parameter_Set.Band_Heater_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Band_Heater.Parameter_Set.Band_Heater_n.Band_Heater_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Parameter_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_1
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_2
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_3
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_4
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_1.Barrel_Temp_Z1
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_1.Barrel_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_2,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_2.Barrel_Temp_Z2
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_2,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_2.Barrel_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_3,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_3.Barrel_Temp_Z3
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_3,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_3.Barrel_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_4,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_4.Barrel_Temp_Z4
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_4,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Operational_Data.Barrel_4.Barrel_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Parameter_Set.Barrel_n
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Parameter_Set.Barrel_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Parameter_Set.Barrel_n.Barrel_Temp_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Parameter_Set.Barrel_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Barrel.Parameter_Set.Barrel_n.Barrel_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n.Cylinder_Diameter
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n.Cylinder_Diameter_Remaining
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n.Cylinder_Measure_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Cylinder_Measure_n.Cylinder_Status
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1.Injection_Level
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1.Injection_Max_Time
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1.Injection_Peak_Pressure
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1.Injection_Pressure_Real_Time
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1.Injection_Start_Pressure
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1.VP_Pressure
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Operational_Data.Injection_Level_1.VP_Time
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n.Injection_Level
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n.Injection_Pressure_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n.Injection_Velocity_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Parameter_Set.Injection_Level_n.VP_Pressure_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data.Cylinder_Measure_n
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data.Cylinder_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data.Cylinder_Measure_n.Cylinder_Diameter_Limitation
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data.Cylinder_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data.Cylinder_Measure_n.Cylinder_Diameter_Spec
Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data.Cylinder_Measure_n,Injection_Molding_Machine.Component.Injection_Unit.Component.Cylinder.Technical_Data.Cylinder_Measure_n.Cylinder_Measure_Zone
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Parameter_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Status
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info.Material_Density
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info.Material_ID
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info.Material_LOT
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Info.Material_Name
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Status,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Status.Remaining_Material
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Status,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Material.Material_Status.Weighed_Material
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data.Hopper_Humidity
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data.Hopper_Status
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data.Hopper_Temp
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Operational_Data.Is_Active
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Parameter_Set.Hopper_Humidity_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Parameter_Set.Hopper_Recharge_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Hopper.Parameter_Set.Hopper_Temp_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Parameter_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Technical_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data.Max_Injection_Rate
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data.Nozzle_Remaining
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data.Nozzle_Status
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data.Nozzle_Temp
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Operational_Data.Nozzle_Time
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Parameter_Set,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Parameter_Set.Nozzle_Temp_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Technical_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Nozzle.Technical_Data.Nozzle_Lifespan
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Parameter_Set
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Technical_Data
Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data,Injection_Molding_Machine.Component.Injection_Unit.Component.Screw.Operational_Data.Check_Ring
